Symbol,Date,Initial Balance,End Balance,Profit/Loss,StartTime,EndTime,DiffTime,
TSLA,20231016,100000.0,99972.35,-27.64999999999418,1028,1029,1,
TSLA,20231016,99972.35,99950.23,-22.120000000009895,1045,1047,2,
TSLA,20231016,99950.23,99946.28,-3.9499999999970896,1051,1058,7,
TSLA,20231016,99946.28,99924.16,-22.119999999995343,1102,1106,4,
TSLA,20231016,99924.16,99871.23,-52.93000000000757,1110,1115,5,
TSLA,20231016,99871.23,99860.17,-11.059999999997672,1122,1125,3,
TSLA,20231016,99860.17,99845.95,-14.220000000001164,1129,1130,1,
TSLA,20231016,99845.95,99816.72,-29.229999999995925,1134,1205,31,
TSLA,20231016,99816.72,99777.22,-39.5,1323,1329,6,
TSLA,20231016,99777.22,99902.04,124.81999999999243,1351,1429,38,
TSLA,20231016,99902.04,99880.98,-21.05999999999767,1433,1437,4,
TSLA,20231016,99880.98,99872.4,-8.580000000001746,1532,1535,3,
TSLA,20231016,99872.4,99862.26,-10.139999999999418,1539,1542,3,
TSLA,20231016,99862.26,99845.88,-16.379999999990105,1546,1548,2,
TSLA,20231017,99845.88,99969.08,123.19999999999709,0933,0955,22,
TSLA,20231017,99969.08,99924.28,-44.80000000000291,0959,1000,1,
TSLA,20231017,99924.28,99911.48,-12.80000000000291,1004,1005,1,
TSLA,20231017,99911.48,99889.36,-22.119999999995343,1013,1018,5,
TSLA,20231017,99889.36,99898.84,9.479999999995925,1022,1029,7,
TSLA,20231017,99898.84,100033.14,134.3000000000029,1033,1053,20,
TSLA,20231017,100033.14,100002.72,-30.419999999998254,1057,1102,5,
TSLA,20231017,100002.72,100055.65,52.929999999993015,1106,1131,25,
TSLA,20231017,100055.65,99998.71,-56.939999999987776,1135,1138,3,
TSLA,20231017,99998.71,99993.25,-5.460000000006403,1142,1143,1,
TSLA,20231017,99993.25,100151.59,158.3399999999965,1147,1220,33,
TSLA,20231017,100151.59,100133.65,-17.94000000000233,1224,1226,2,
TSLA,20231017,100133.65,100114.4,-19.25,1242,1244,2,
TSLA,20231017,100114.4,100051.26,-63.13999999999942,1248,1257,9,
TSLA,20231017,100051.26,100041.12,-10.139999999999418,1318,1319,1,
TSLA,20231017,100041.12,100041.12,0.0,1323,1344,21,
TSLA,20231017,100041.12,100016.16,-24.95999999999185,1348,1349,1,
TSLA,20231017,100016.16,99990.42,-25.74000000000524,1353,1400,7,
TSLA,20231017,99990.42,99970.14,-20.279999999998836,1404,1408,4,
TSLA,20231017,99970.14,99924.12,-46.020000000004075,1441,1454,13,
TSLA,20231017,99924.12,99890.58,-33.5399999999936,1508,1520,12,
TSLA,20231017,99890.58,99871.86,-18.720000000001164,1545,1549,4,
TSLA,20231017,99871.86,99833.64,-38.220000000001164,1553,1554,1,
TSLA,20231018,99833.64,99760.32,-73.31999999999243,0933,0934,1,
TSLA,20231018,99760.32,99713.71,-46.61000000000058,1004,1006,2,
TSLA,20231018,99713.71,99716.87,3.1599999999889405,1010,1019,9,
TSLA,20231018,99716.87,99705.81,-11.059999999997672,1023,1024,1,
TSLA,20231018,99705.81,99912.0,206.19000000000233,1028,1102,34,
TSLA,20231018,99912.0,99900.8,-11.19999999999709,1106,1117,11,
TSLA,20231018,99900.8,99865.6,-35.19999999999709,1121,1130,9,
TSLA,20231018,99865.6,99927.2,61.59999999999127,1134,1155,21,
TSLA,20231018,99927.2,99922.4,-4.80000000000291,1159,1204,5,
TSLA,20231018,99922.4,99906.4,-16.0,1208,1209,1,
TSLA,20231018,99906.4,99887.77,-18.629999999990105,1225,1227,2,
TSLA,20231018,99887.77,100026.28,138.50999999999476,1231,1301,30,
TSLA,20231018,100026.28,100015.75,-10.529999999998836,1318,1319,1,
TSLA,20231018,100015.75,99998.74,-17.00999999999476,1323,1325,2,
TSLA,20231018,99998.74,99967.96,-30.779999999998836,1329,1330,1,
TSLA,20231018,99967.96,99942.04,-25.920000000012806,1401,1402,1,
TSLA,20231018,99942.04,99959.86,17.820000000006985,1406,1415,9,
TSLA,20231018,99959.86,99947.71,-12.14999999999418,1419,1421,2,
TSLA,20231018,99947.71,99943.66,-4.05000000000291,1425,1439,14,
TSLA,20231018,99943.66,99989.58,45.919999999998254,1445,1517,32,
TSLA,20231019,99989.58,100053.96,64.38000000000466,0933,0938,5,
TSLA,20231019,100053.96,100042.52,-11.440000000002328,0942,0945,3,
TSLA,20231019,100042.52,100006.92,-35.60000000000582,0949,0950,1,
TSLA,20231019,100006.92,100060.32,53.40000000000873,0954,1004,10,
TSLA,20231019,100060.32,100011.37,-48.95000000001164,1008,1009,1,
TSLA,20231019,100011.37,100217.29,205.91999999999825,1013,1035,22,
TSLA,20231019,100217.29,100342.78,125.49000000000524,1039,1055,16,
TSLA,20231019,100342.78,100285.18,-57.60000000000582,1059,1100,1,
TSLA,20231019,100285.18,100340.08,54.90000000000873,1115,1127,12,
TSLA,20231019,100340.08,100331.98,-8.10000000000582,1131,1135,4,
TSLA,20231019,100331.98,100368.88,36.90000000000873,1233,1239,6,
TSLA,20231019,100368.88,100340.67,-28.210000000006403,1243,1247,4,
TSLA,20231019,100340.67,100293.87,-46.80000000000291,1251,1253,2,
TSLA,20231019,100293.87,100254.27,-39.59999999999127,1257,1301,4,
TSLA,20231019,100254.27,100249.77,-4.5,1335,1355,20,
TSLA,20231019,100249.77,100256.07,6.30000000000291,1359,1417,18,
TSLA,20231019,100256.07,100197.83,-58.24000000000524,1421,1422,1,
TSLA,20231019,100197.83,100251.52,53.69000000000233,1426,1439,13,
TSLA,20231019,100251.52,100311.58,60.05999999999767,1443,1501,18,
TSLA,20231019,100311.58,100277.0,-34.580000000001746,1526,1527,1,
TSLA,20231019,100277.0,100251.52,-25.479999999995925,1532,1540,8,
TSLA,20231019,100251.52,100351.62,100.09999999999127,1551,1557,6,
TSLA,20231020,100351.62,100307.91,-43.70999999999185,0933,0935,2,
TSLA,20231020,100307.91,100274.79,-33.120000000009895,0939,0941,2,
TSLA,20231020,100274.79,100191.07,-83.71999999998661,0945,0946,1,
TSLA,20231020,100191.07,100157.03,-34.04000000000815,0950,0951,1,
TSLA,20231020,100157.03,100138.63,-18.39999999999418,0955,0956,1,
TSLA,20231020,100138.63,100097.68,-40.95000000001164,1000,1006,6,
