Symbol,Date,Initial Balance,End Balance,StartTime,EndTime,Full Date Time,Profit/Loss,DiffTime,BollingerLower,StartPrice,BollingerUpper,
TSLA,20231026,100000.0,99976.72,1218,1221,'202310261218,-23.279999999998836,3,206.24,0.0,207.29,
TSLA,20231026,99976.72,99958.29,1225,1227,'202310261225,-18.430000000007567,2,205.71,0.0,206.6,
TSLA,20231026,99958.29,100026.45,1231,1243,'202310261231,68.16000000000349,12,205.8,0.0,206.62,
TSLA,20231026,100026.45,99991.53,1247,1254,'202310261247,-34.919999999998254,7,205.17,0.0,206.06,
TSLA,20231026,99991.53,99923.63,1258,1301,'202310261258,-67.89999999999418,3,205.13,0.0,205.66,
TSLA,20231026,99923.63,99904.23,1325,1326,'202310261325,-19.40000000000873,1,205.56,0.0,206.95,
TSLA,20231026,99904.23,99849.91,1330,1333,'202310261330,-54.31999999999243,3,205.58,0.0,206.09,
TSLA,20231026,99849.91,99844.21,1503,1505,'202310261503,-5.69999999999709,2,208.58,0.0,209.51,
TSLA,20231026,99844.21,99807.16,1509,1510,'202310261509,-37.05000000000291,1,208.94,0.0,209.45,
TSLA,20231026,99807.16,99756.72,1546,1550,'202310261546,-50.44000000000233,4,205.6,0.0,206.76,
TSLA,20231026,99756.72,99716.95,1554,1555,'202310261554,-39.770000000004075,1,205.39,0.0,206.12,
TSLA,20231027,99716.95,99758.31,0933,0938,'202310270933,41.36000000000058,5,204.13,0.0,211.75,
TSLA,20231027,99758.31,99781.11,0942,0949,'202310270942,22.80000000000291,7,209.45,0.0,211.72,
TSLA,20231027,99781.11,99726.96,0953,0954,'202310270953,-54.14999999999418,1,209.61,0.0,211.27,
TSLA,20231027,99726.96,99681.36,0958,0959,'202310270958,-45.60000000000582,1,209.06,0.0,210.43,
TSLA,20231027,99681.36,99651.91,1015,1016,'202310271015,-29.44999999999709,1,208.76,0.0,210.84,
TSLA,20231027,99651.91,99630.06,1125,1129,'202310271125,-21.85000000000582,4,209.59,0.0,210.34,
TSLA,20231027,99630.06,99616.76,1133,1134,'202310271133,-13.30000000000291,1,209.38,0.0,210.54,
TSLA,20231027,99616.76,99595.86,1202,1204,'202310271202,-20.89999999999418,2,209.95,0.0,210.75,
TSLA,20231027,99595.86,99579.71,1208,1213,'202310271208,-16.14999999999418,5,210.08,0.0,210.73,
TSLA,20231027,99579.71,99543.23,1433,1435,'202310271433,-36.48000000001048,2,205.72,0.0,206.58,
TSLA,20231027,99543.23,99529.79,1458,1459,'202310271458,-13.440000000002328,1,206.28,0.0,207.18,
TSLA,20231027,99529.79,99504.83,1503,1505,'202310271503,-24.95999999999185,2,206.26,0.0,206.79,
TSLA,20231027,99504.83,99468.35,1509,1516,'202310271509,-36.479999999995925,7,206.45,0.0,207.12,
