Symbol,Date,Initial Balance,End Balance,StartTime,EndTime,Full Date Time,Profit/Loss,DiffTime,Type,BollingerLower,StartPrice,BollingerUpper,EndPrice,
TSLA,20231026,100000.0,99976.72,1218,1221,'202310261218,-23.279999999998836,3,SELL,206.24,206.01,207.29,206.25,
TSLA,20231026,99976.72,99958.29,1225,1227,'202310261225,-18.430000000007567,2,SELL,205.71,206.07,206.6,206.26,
TSLA,20231026,99958.29,100026.45,1231,1243,'202310261231,68.16000000000349,12,SELL,205.8,206.7,206.62,205.99,
TSLA,20231026,100026.45,99991.53,1247,1254,'202310261247,-34.919999999998254,7,SELL,205.17,205.33,206.06,205.69,
TSLA,20231026,99991.53,99923.63,1258,1301,'202310261258,-67.89999999999418,3,SELL,205.13,205.5,205.66,206.2,
TSLA,20231026,99923.63,99904.23,1325,1326,'202310261325,-19.40000000000873,1,SELL,205.56,205.75,206.95,205.95,
TSLA,20231026,99904.23,99849.91,1330,1333,'202310261330,-54.31999999999243,3,SELL,205.58,205.54,206.09,206.1,
TSLA,20231026,99849.91,99844.21,1503,1505,'202310261503,-5.69999999999709,2,BUY,208.58,209.17,209.51,209.11,
TSLA,20231026,99844.21,99807.16,1509,1510,'202310261509,-37.05000000000291,1,BUY,208.94,209.03,209.45,208.64,
TSLA,20231026,99807.16,99756.72,1546,1550,'202310261546,-50.44000000000233,4,SELL,205.6,205.59,206.76,206.11,
TSLA,20231026,99756.72,99716.95,1554,1555,'202310261554,-39.770000000004075,1,SELL,205.39,205.61,206.12,206.02,
TSLA,20231027,99716.95,99758.31,0933,0938,'202310270933,41.36000000000058,5,BUY,204.13,210.67,211.75,211.11,
TSLA,20231027,99758.31,99781.11,0942,0949,'202310270942,22.80000000000291,7,BUY,209.45,209.27,211.72,209.51,
TSLA,20231027,99781.11,99726.96,0953,0954,'202310270953,-54.14999999999418,1,BUY,209.61,209.78,211.27,209.21,
TSLA,20231027,99726.96,99681.36,0958,0959,'202310270958,-45.60000000000582,1,BUY,209.06,209.41,210.43,208.93,
TSLA,20231027,99681.36,99651.91,1015,1016,'202310271015,-29.44999999999709,1,BUY,208.76,210.13,210.84,209.82,
TSLA,20231027,99651.91,99630.06,1125,1129,'202310271125,-21.85000000000582,4,BUY,209.59,210.31,210.34,210.08,
TSLA,20231027,99630.06,99616.76,1133,1134,'202310271133,-13.30000000000291,1,BUY,209.38,209.26,210.54,209.12,
TSLA,20231027,99616.76,99595.86,1202,1204,'202310271202,-20.89999999999418,2,BUY,209.95,210.5,210.75,210.28,
TSLA,20231027,99595.86,99579.71,1208,1213,'202310271208,-16.14999999999418,5,BUY,210.08,210.15,210.73,209.98,
TSLA,20231027,99579.71,99543.23,1433,1435,'202310271433,-36.48000000001048,2,SELL,205.72,206.74,206.58,207.12,
